order_id,payment_sequential,payment_type,payment_installments,payment_value
00048cc3ae777c65dbb7d2a0634bc1ea,1,boleto,1,34.59
0010b2e5201cc5f1ae7e9c6cc8f5bd00,1,credit_card,3,65.5
00125cb692d04887809806618a2a145f,1,credit_card,1,135.41
0014ae671de39511f7575066200733b7,1,boleto,1,30.6
001ab0a7578dd66cd4b0a71f5b6e1e41,1,boleto,1,127.56
00259a44fcad3fc0474329e925d14fc3,1,credit_card,1,34.09
0026a368634b6e6f34f33b1499773a30,1,credit_card,1,164.8
00275bce676303c3bfd7292aefdfa223,1,boleto,1,293.36
002955b0acc63d04f6724a31967e82bd,1,credit_card,1,135.59
002b430ff89b3a24c31a1170acbbedea,1,credit_card,10,265.55
002d040018d12a3853c059f7f23ab5b1,1,boleto,1,169.84
0030d783f979fbc5981e75613b057344,1,credit_card,7,78.27
00335b686d693c7d72deeb12f8e89227,1,boleto,1,80.79
0035246a40f520710769010f752e7507,1,credit_card,8,99.11
003d804eef0e1b856881cd18e0cc0d4c,1,credit_card,3,312.74
0045e3085f083f0f38d24bb3f22e6593,1,credit_card,3,130.74
0049edf42837aa808e03552a62bd2158,1,credit_card,1,67.5
004fb5e6f90a178dc74ad2b016649249,1,credit_card,2,143.92
00571ded73b3c061925584feab0db425,1,credit_card,4,389.82
00685d31ae12e47470ba5c18ba74f22c,1,credit_card,7,75.17
006e05e81c068ddc38e48ebe189b922e,1,credit_card,1,43.1
007ec946d4f798caf2b43c9d44c56421,1,boleto,1,43.0
0087889a1c836be17f58afd7f1729a4a,1,credit_card,3,269.63
00891ba5de66f55000ee358ceea9b345,1,credit_card,4,149.69
00946f674d880be1f188abc10ad7cf46,1,credit_card,4,232.72
009ac365164f8e06f59d18a08045f6c4,1,credit_card,1,0.88
009ac365164f8e06f59d18a08045f6c4,2,voucher,1,4.5
009ac365164f8e06f59d18a08045f6c4,3,voucher,1,8.25
009ac365164f8e06f59d18a08045f6c4,4,voucher,1,5.45
009ac365164f8e06f59d18a08045f6c4,5,voucher,1,8.75
009ac365164f8e06f59d18a08045f6c4,6,voucher,1,4.17
009e11afa25aa95ae78e60a793995c9b,1,credit_card,1,65.14
009fa9bd0d92710e840793bfefa80867,1,boleto,1,100.33
00a250dbdb3153cc6ecf4d3f07ef6a17,1,credit_card,6,61.77
00a9536682ecb394a3794c1608200803,1,credit_card,10,122.17
00ab1aba567dfebdc39caa4e7ca2f1b2,1,credit_card,1,48.38
00af53fdc2002f5b6a8f16db648e003b,1,credit_card,2,51.75
00bc78808b22918a467b2fa4b8ef5d68,1,credit_card,8,84.69
00bcee890eba57a9767c7b5ca12d3a1b,1,credit_card,10,772.5
00bf1320ffb5fe47a845feca16c0e0b4,1,credit_card,8,469.39
00c00d5b36157595e21108ba1da2828f,1,boleto,1,312.92
00c405bd71187154a7846862f585a9d4,1,credit_card,1,6.03
00c405bd71187154a7846862f585a9d4,2,voucher,1,0.21
00c405bd71187154a7846862f585a9d4,3,voucher,1,0.1
00c405bd71187154a7846862f585a9d4,4,voucher,1,0.25
00c405bd71187154a7846862f585a9d4,5,voucher,1,0.1
00c405bd71187154a7846862f585a9d4,6,voucher,1,20.0
00c405bd71187154a7846862f585a9d4,7,voucher,1,20.0
00c47fefb9a49baec12ab3654d7f548e,1,credit_card,4,266.69
00c95282163553a982f38481f9488481,1,credit_card,1,64.9
00c95282163553a982f38481f9488481,2,voucher,1,20.0
00c95282163553a982f38481f9488481,3,voucher,1,20.0
00c95282163553a982f38481f9488481,4,voucher,1,20.0
00c9f7d4b0e87781465e562dc109f6aa,1,credit_card,10,120.36
00cb18db3d9c03f8386e7fc70cad2504,1,credit_card,1,144.03
00cf47526e0f7920b381b2baf4ecf1c7,1,credit_card,1,74.49
00cfabbe2a93b70beeec4894f86712a8,1,boleto,1,45.1
00d50baf1bc56a3c59de1810a6b84b0d,1,credit_card,8,188.24
00d8d65b666158b633f96054d31af43b,1,boleto,1,130.88
00d94e8901b75ee0d6ef1f87f947b666,1,credit_card,9,97.4
00df27e666004db9f14bce766fa5327c,1,credit_card,2,203.67
00f1c7c1542f5f86c3091749d9e939d8,1,boleto,1,101.34
00f33ee62c15223679d3550e751c37cd,1,credit_card,5,54.61
00f98eaeddb9debc8df8cb27e08216d4,1,boleto,1,60.94
00fb055886536063afa0dbee07a0944f,1,boleto,1,57.38
00fb278a99144cc1004b3ed1452ff5e1,1,credit_card,3,30.95
00fbcd8b120e5706c58b9d1a0026a7da,1,boleto,1,24.01
00fed9e582d5a3e38566872eec164ac6,1,credit_card,8,412.18
010a35dc7fc3808a03d243d2fd8c6e35,1,debit_card,1,132.05
011108c8a3d6eee6807f48a2e639439f,1,credit_card,7,691.49
011331376a4c6cc7a9e5bc165ec169d0,1,credit_card,4,144.63
0115d160c5fbd758a139ff90821db60d,1,boleto,1,411.63
01218a8a807fc187849529e6f12237a9,1,credit_card,1,30.1
0121cfa7c946e6589f50d7012d3eb5eb,1,credit_card,4,46.78
012d8cbea490e6102cee6a2088aaa785,1,credit_card,2,112.89
012eab2625c5f8aaac6f37f2c19ef62f,1,credit_card,6,97.22
012f255bd5034b8e7fb3c91566a91cc8,1,credit_card,1,92.8
01311f2795d8463a11f9422173687696,1,boleto,1,128.46
0132451f29a10b66a5cf1bacc85f9afe,1,credit_card,3,215.56
0135675503322d804abef7ec5ed4824b,1,credit_card,2,122.97
014176e9538672a32d2a9b73bf53a31f,1,credit_card,6,156.64
0143924743f240e1fdcd6a8918fbe147,1,credit_card,3,111.89
014405982914c2cde2796ddcf0b8703d,1,credit_card,7,78.43
014e36af18c280a94d880a16b2f00713,1,boleto,1,85.38
014f1e63f9bd4f5578edcf4e5c305a0a,1,credit_card,2,148.24
015183dcb37f19e0456905fa5aac0b69,1,credit_card,6,353.7
0152f10d04554388634b75f079f069fc,1,credit_card,8,647.54
016706d732e79b49035275c048edb2c4,1,credit_card,1,65.0
016726239765c18f66826453f39c64e3,1,credit_card,10,265.77
016dee69b3de35a39bfccee5309307c3,1,credit_card,1,62.19
