review_id,order_id,review_score,has_review_comment,review_creation_date,review_answer_timestamp
5e4e50af3b7960b7a10d86ec869509e8,00048cc3ae777c65dbb7d2a0634bc1ea,4,False,2017-05-23 00:00:00,2017-05-24 19:00:09
f55e59915a07435c3615737a15470d96,0010b2e5201cc5f1ae7e9c6cc8f5bd00,5,False,2017-09-24 00:00:00,2017-09-24 18:35:01
08af1a16cca5edd546f4a10b6e87af2e,00125cb692d04887809806618a2a145f,5,True,2017-04-08 00:00:00,2017-04-13 16:42:37
81c4070474d420a77a2254b8a5473f6a,0014ae671de39511f7575066200733b7,5,False,2017-06-08 00:00:00,2017-06-09 14:25:13
68b49cfcd9420c6ad09af97ea8268e7c,001ab0a7578dd66cd4b0a71f5b6e1e41,4,True,2018-01-18 00:00:00,2018-01-25 03:07:10
82588c155bfa9331acb3f976fe040c4b,00259a44fcad3fc0474329e925d14fc3,4,True,2018-01-05 00:00:00,2018-01-07 21:46:43
ed7cc4092834fc4d48b7d9d125d7c657,0026a368634b6e6f34f33b1499773a30,4,True,2017-11-08 00:00:00,2017-11-17 10:08:24
3e33eee1e8cd67541aec8fbd66a0f6d8,00275bce676303c3bfd7292aefdfa223,5,True,2017-12-05 00:00:00,2017-12-05 23:23:00
ba0252394ceecca6d0e9803d75182eb5,002955b0acc63d04f6724a31967e82bd,5,False,2017-12-27 00:00:00,2018-01-02 13:37:52
91048655e4128b6838c0086cf2daddab,002b430ff89b3a24c31a1170acbbedea,5,True,2017-06-30 00:00:00,2017-07-01 00:58:12
3174be472473a1a73da9880380e7f740,002d040018d12a3853c059f7f23ab5b1,3,False,2017-11-28 00:00:00,2017-11-30 19:44:06
fb438ee1afd42dc7a34710a4d343917b,0030d783f979fbc5981e75613b057344,1,True,2017-12-17 00:00:00,2017-12-19 20:26:21
2a74b0559eb58fc1ff842ecc999594cb,0035246a40f520710769010f752e7507,5,True,2017-08-25 00:00:00,2017-08-29 21:45:57
89a02c45c340aeeb1354a24e7d4b2c1e,0035246a40f520710769010f752e7507,5,False,2017-08-29 00:00:00,2017-08-30 01:59:12
ec72e8db6271c9732565ac1aef57aaa3,003d804eef0e1b856881cd18e0cc0d4c,4,False,2017-12-20 00:00:00,2017-12-20 03:29:32
27abf489a0e46ad7dfa4dbdac61b188c,0045e3085f083f0f38d24bb3f22e6593,5,False,2017-08-30 00:00:00,2017-09-02 06:07:39
2fbe086269247cee60d600c3af62f3e6,0049edf42837aa808e03552a62bd2158,1,True,2018-01-31 00:00:00,2018-02-01 01:45:26
37b1da1f0e40121760677e6e9c7232fd,004fb5e6f90a178dc74ad2b016649249,5,False,2017-06-17 00:00:00,2017-07-10 01:20:21
397312c9f147d1a22bd3108f1d5dd42a,00571ded73b3c061925584feab0db425,5,True,2017-05-31 00:00:00,2017-06-01 00:46:57
212d807650bd7e83391b7908b3cfa2b4,00685d31ae12e47470ba5c18ba74f22c,1,False,2017-09-28 00:00:00,2017-09-28 04:05:37
ceb8edcfc6a17b16926b7c9acb47abcf,006e05e81c068ddc38e48ebe189b922e,4,True,2018-01-04 00:00:00,2018-01-05 00:02:42
bd1dcfd26e525cbbae5ec69ddd506c29,007ec946d4f798caf2b43c9d44c56421,5,False,2017-12-07 00:00:00,2017-12-08 08:43:36
