order_id,customer_id,customer_unique_id,customer_city,customer_state,order_status,order_purchase_timestamp,order_approved_at,order_delivered_customer_date,order_estimated_delivery_date
ec7a019261fce44180373d45b442d78f,c24fc5f9a446b4d8262041b9c64de772,f7b981e8a280e455ac3cbe0d5d171bd1,curitiba,PR,delivered,2017-01-05 11:56:06,2017-01-05 12:10:17,2017-01-11 13:14:05,2017-02-01 00:00:00
7004296aa0256632eaddc171edaf727f,3a7856f2a103364d279de7f72e18b7c4,29a63a400c3ca9982907ce8de1f19527,curitiba,PR,delivered,2017-01-05 13:31:22,2017-01-07 03:44:29,2017-01-16 16:05:21,2017-02-01 00:00:00
43d29c6fc78c31c80080d85e5260a9fb,41fdaf0dcabfb53a5556c46cd8cc0a32,fc545111108ebc9bf49eb27c828d25fd,curitiba,PR,delivered,2017-01-05 14:36:18,2017-01-07 03:44:12,2017-01-16 09:13:47,2017-02-01 00:00:00
e1fe072ef14b519af1f0a8ed997c1301,758b633d88b82063db189810084f4ea9,4b3207464f5f7a48a7f63fa0b1251d86,ribeirao preto,SP,delivered,2017-01-05 15:32:59,2017-01-05 16:15:16,2017-01-12 14:13:19,2017-02-15 00:00:00
f2dd5f15184c73c0d45c02941c7c23d1,4b60b3ade055c6ad88a00758c8e8a162,b88b78a413e70182e18b032361b24f91,irece,BA,delivered,2017-01-05 22:52:33,2017-01-05 23:05:27,2017-01-13 17:06:48,2017-02-23 00:00:00
157ec3dc3f38cdbd2706bd216edfe8fb,7dfd10dcc726950fc6171cea83872351,48368b31672665cca1b8a03047a1702a,santa luzia,MG,delivered,2017-01-06 13:43:16,2017-01-06 13:55:11,2017-01-13 10:58:13,2017-02-16 00:00:00
e6db6e9529fecbe14cd05dd349816656,6b3efc29f67766dd725bb29e857614f2,c9517b423493063fa4e805acf2cc4564,lagoa santa,MG,delivered,2017-01-06 21:27:49,2017-01-06 21:35:20,2017-01-13 13:57:29,2017-02-20 00:00:00
452b706af12e25e6c8c740b4dc493ab0,bfc9371f9268216725254f8567803291,d398a57e85887decbe54f94aca2eb457,rio de janeiro,RJ,delivered,2017-01-08 09:35:14,2017-01-08 09:45:12,2017-01-17 13:22:19,2017-02-17 00:00:00
195416246665b8268100ef5fde9722b4,b14e4569fdc3353689f16abb8b57dadc,7d08a8005756c215935d45bcc0e9a760,rio de janeiro,RJ,shipped,2017-01-08 19:27:22,2017-01-08 19:45:02,,2017-02-22 00:00:00
46936461f0c4e3c80b9289ce5fc1682a,f6295486d5e27c0de0101b3f1b63b6d1,7d08a8005756c215935d45bcc0e9a760,rio de janeiro,RJ,shipped,2017-01-08 19:27:22,2017-01-08 19:45:02,,2017-02-21 00:00:00
81e5043198a44ddeb226002ff55d8ad4,ddd15ef77c83eea8c534d2896173a927,853ba75a0b423722ccf270eea3b4cfe4,rio de janeiro,RJ,delivered,2017-01-09 00:37:18,2017-01-09 00:45:09,2017-02-24 09:42:38,2017-02-24 00:00:00
